image_path,split,label,weight_grams
"data\train\PET_Bottle\PET1,000.jpg",train,0,15.77
"data\train\PET_Bottle\PET1,003.jpg",train,0,23.4
"data\train\PET_Bottle\PET1,004.jpg",train,0,19.51
"data\train\PET_Bottle\PET1,005.jpg",train,0,16.5
"data\train\PET_Bottle\PET1,006.jpg",train,0,22.91
"data\train\PET_Bottle\PET1,007.jpg",train,0,23.74
"data\train\PET_Bottle\PET1,010.jpg",train,0,24.91
"data\train\PET_Bottle\PET1,011.jpg",train,0,24.2
"data\train\PET_Bottle\PET1,012.jpg",train,0,24.88
"data\train\PET_Bottle\PET1,013.jpg",train,0,19.29
"data\train\PET_Bottle\PET1,014.jpg",train,0,19.83
"data\train\PET_Bottle\PET1,015.jpg",train,0,23.5
"data\train\PET_Bottle\PET1,016.jpg",train,0,22.9
"data\train\PET_Bottle\PET1,017.jpg",train,0,16.49
"data\train\PET_Bottle\PET1,018.jpg",train,0,18.37
"data\train\PET_Bottle\PET1,019.jpg",train,0,24.65
"data\train\PET_Bottle\PET1,021.jpg",train,0,20.18
"data\train\PET_Bottle\PET1,022.jpg",train,0,18.93
"data\train\PET_Bottle\PET1,023.jpg",train,0,22.58
"data\train\PET_Bottle\PET1,024.jpg",train,0,23.02
"data\train\PET_Bottle\PET1,025.jpg",train,0,22.26
"data\train\PET_Bottle\PET1,026.jpg",train,0,18.4
"data\train\PET_Bottle\PET1,027.jpg",train,0,22.66
"data\train\PET_Bottle\PET1,028.jpg",train,0,17.38
"data\train\PET_Bottle\PET1,029.jpg",train,0,15.29
"data\train\PET_Bottle\PET1,030.jpg",train,0,15.13
"data\train\PET_Bottle\PET1,031.jpg",train,0,24.47
"data\train\PET_Bottle\PET1,032.jpg",train,0,17.9
"data\train\PET_Bottle\PET1,033.jpg",train,0,20.91
"data\train\PET_Bottle\PET1,035.jpg",train,0,18.12
"data\train\PET_Bottle\PET1,037.jpg",train,0,17.85
"data\train\PET_Bottle\PET1,039.jpg",train,0,19.52
"data\train\PET_Bottle\PET1,040.jpg",train,0,18.79
"data\train\PET_Bottle\PET1,041.jpg",train,0,16.39
"data\train\PET_Bottle\PET1,042.jpg",train,0,23.4
"data\train\PET_Bottle\PET1,043.jpg",train,0,17.19
"data\train\PET_Bottle\PET1,044.jpg",train,0,16.78
"data\train\PET_Bottle\PET1,045.jpg",train,0,24.48
"data\train\PET_Bottle\PET1,046.jpg",train,0,23.58
"data\train\PET_Bottle\PET1,047.jpg",train,0,19.51
"data\train\PET_Bottle\PET1,048.jpg",train,0,20.93
"data\train\PET_Bottle\PET1,049.jpg",train,0,17.11
"data\train\PET_Bottle\PET1,050.jpg",train,0,18.48
"data\train\PET_Bottle\PET1,051.jpg",train,0,16.52
"data\train\PET_Bottle\PET1,054.jpg",train,0,17.92
"data\train\PET_Bottle\PET1,055.jpg",train,0,23.08
"data\train\PET_Bottle\PET1,057.jpg",train,0,16.42
"data\train\PET_Bottle\PET1,058.jpg",train,0,23.06
"data\train\PET_Bottle\PET1,059.jpg",train,0,23.17
"data\train\PET_Bottle\PET1,060.jpg",train,0,16.2
"data\train\PET_Bottle\PET1,062.jpg",train,0,24.26
"data\train\PET_Bottle\PET1,064.jpg",train,0,16.38
"data\train\PET_Bottle\PET1,065.jpg",train,0,20.52
"data\train\PET_Bottle\PET1,066.jpg",train,0,16.47
"data\train\PET_Bottle\PET1,067.jpg",train,0,20.04
"data\train\PET_Bottle\PET1,068.jpg",train,0,16.0
"data\train\PET_Bottle\PET1,069.jpg",train,0,19.94
"data\train\PET_Bottle\PET1,070.jpg",train,0,21.69
"data\train\PET_Bottle\PET1,071.jpg",train,0,24.29
"data\train\PET_Bottle\PET1,073.jpg",train,0,15.15
"data\train\PET_Bottle\PET1,074.jpg",train,0,22.06
"data\train\PET_Bottle\PET1,075.jpg",train,0,21.22
"data\train\PET_Bottle\PET1,076.jpg",train,0,15.31
"data\train\PET_Bottle\PET1,077.jpg",train,0,15.91
"data\train\PET_Bottle\PET1,078.jpg",train,0,19.43
"data\train\PET_Bottle\PET1,079.jpg",train,0,23.27
"data\train\PET_Bottle\PET1,081.jpg",train,0,20.91
"data\train\PET_Bottle\PET1,082.jpg",train,0,23.3
"data\train\PET_Bottle\PET1,084.jpg",train,0,16.41
"data\train\PET_Bottle\PET1,085.jpg",train,0,16.06
"data\train\PET_Bottle\PET1,086.jpg",train,0,19.33
"data\train\PET_Bottle\PET1,087.jpg",train,0,19.37
"data\train\PET_Bottle\PET1,088.jpg",train,0,20.95
"data\train\PET_Bottle\PET1,089.jpg",train,0,18.04
"data\train\PET_Bottle\PET1,090.jpg",train,0,24.96
"data\train\PET_Bottle\PET1,091.jpg",train,0,19.19
"data\train\PET_Bottle\PET1,092.jpg",train,0,17.78
"data\train\PET_Bottle\PET1,093.jpg",train,0,20.62
"data\train\PET_Bottle\PET1,094.jpg",train,0,24.57
"data\train\PET_Bottle\PET1,095.jpg",train,0,19.71
"data\train\PET_Bottle\PET1,096.jpg",train,0,17.49
"data\train\PET_Bottle\PET1,097.jpg",train,0,24.97
"data\train\PET_Bottle\PET1,098.jpg",train,0,21.2
"data\train\PET_Bottle\PET1,099.jpg",train,0,23.15
"data\train\PET_Bottle\PET1,101.jpg",train,0,21.49
"data\train\PET_Bottle\PET1,102.jpg",train,0,22.55
"data\train\PET_Bottle\PET1,103.jpg",train,0,22.39
"data\train\PET_Bottle\PET1,104.jpg",train,0,19.26
"data\train\PET_Bottle\PET1,105.jpg",train,0,16.67
"data\train\PET_Bottle\PET1,106.jpg",train,0,23.84
"data\train\PET_Bottle\PET1,108.jpg",train,0,19.69
"data\train\PET_Bottle\PET1,110.jpg",train,0,18.09
